Luhya_Loogoli,Kiswahili
"7 Yerusalemi yidzulitsanga mu madiku gelidambizwa lilye na galikenye lilye, yidzulitsanga vindu vivye vyosi vyokuyanzidza vya li ho kutwula ku madiku ga kale.","Katika siku za mateso yake na kutangatanga,Yerusalemu hukumbuka hazina zote ambazo zilikuwa zake siku za kale."
"Lwa avandu veve va gwa mu makono gomusigu, na si ha veye nomulala wokumukonya mba, avasigu VA my lola, va seka kigira liheridzwa lilye.","Wakati watu wake walipoanguka katika mikono ya adui, hapakuwepo na yeyote wa kumsaidia. Watesi wake walimtazama na kumcheka katika maangamizi yake."
"8 Yerusalemi ya kola ubwoni ligali, kigira yaga u gwiye kuli kindu kidamano.",Yerusalemu ametenda dhambi sana kwa hiyo amekuwa najisi.
"Yavo Ava li Ni VA mwidzominya va mu lega, kigira va Loli kyahonyo kikye.","Wote waliomheshimu wanamdharau, kwa maana wameuona uchi wake."
"Yee, akenyanga, nokwegirunkanya a tsie inyima.",Yeye mwenyewe anapiga kite na kugeukia mbali.
"9 Ububi bwibwe bwa li mu kitweya kikye, si yidzulitsanga kiheri kikye mba.",Uchafu wake umegandamana na nguo zake; hakuwaza juu ya maisha yake ya baadaye.
Kigira yaga lika lilye lya li neligenya; si a veye nowokuleminya mwoyo.,"Anguko lake lilikuwa la kushangaza, hapakuwepo na yeyote wa kumfariji."
"Henza, O Yahova, lidambidzwa lyange ; kigira musigu yekuminyi.","?Tazama, EeÿBwana, teso langu, kwa maana adui ameshinda.?"
10 Mudamdidzi u nyiye mukono gigwe ku vindu vivye vyosi vyokuyanzidza.,"Adui ametia mikono juu ya hazina zake zote,"
"Kigira u Loli Ava ya suuvira vingiranga ha butakatifu bwibwe, Ava wa laga kuvo va ta bugirirwa Kali kwiringa mu livugana lilyo.","aliona mataifa ya kipagani wakiingia mahali patakatifu pake, wale uliowakataza kuingia kwenye kusanyiko lako."
11 Avandu veve vosi lwa venyanga kwenya vyokulia.,Watu wake walipotaka kutafta chakula.
Va twuliza vindu vyavo vyokuyanzidza kuva vyokulia vyokwiranya myoyo gyavo ubuhya.,Walikuwa wakitoa vitu vyao vya kupendeza ndipo wabadilishane na chakula.
"Lola o Yahova, u henze, kigira inze ngwiye kindu ki legwa.","Tazama, Ee Bwana, ufikiri, kwa maana nimedharauliwa."
"12 Si ki veye kindu Kya mwinye, mwinye vosi Ava vitanga?","Si kitu kwenu, enyi nyote mpitao?"
"Henze, mu lole, Ni ha va Ni ha veye nelivererera Lindi kuli livererera Lindi kuli livererera Lya mbeye nalyo, Lya nkolerwa.","Angalieni, mtazame kama kuna majonzi yoyote kama yangu, niliyotendwa."
Lya Yahova u vereridzeye inze kulidiku lyobutima bwibwe bululu.,Ambayo Bwana amenihuzunisha kwa hayo siku ya hasira yake iwakayo.
"13 Ya vika muliru mu vigumba vyange ku twula migulu, nagwo vi guuta.","Aliweka mifupani mwangu moto kutoka juu mbinguni, nao umenishinda."
"A vambuye muluvo kuduka kugumira virenge vyange, u nziranya inyima.","Ametandika wavu aninase miguu, amenirudisha nyuma."
"U nkoli kuva tsyeng'ine, Kandi mulyaye mbasu Bei.","Amenifanya kuwa pekee, na mgonjwa mchana kutwa."
"14. Inira ya mahyolo gange, mukono gwigwe gu gi bohi.","Kongwa la makosa yangu, limefungwa na mkono wake."
"Ga hambanyeywi halala, ga nini kwigoti lyange, u heridzi tsingulu tsyange.","Hayo yaliyoshikamana, yamepanda juu shingoni mwangu, amezikomesha nguvu zangu."
"Yahova u mbiki mu makono gavo, Ava nta nyala ku singira kuvo mba.","Bwana ameniweka mikononi mwao, nisioweza kupigana nao."
15. Yahova u tungaminyi avaluviriri vange vosi hagati hange.,Bwana amewafanya mashujaa wangu si kitu kati yangu.
U langi livugana ku inze kushonolonya vasoleli vange.,Amita mkutano mkuu kinyume change ili kuwaponda vijana wangu
Yahova u duvagi mukana mugima wa Yuda kuli va duvaganga mu kyokumina iwaini.,Bwana amemkanyaga binti bikira wa Yuda
"16 Inze ndiranga kigira vindu yivi, imoni yange, imoni yange, yidoolanga amadzi.","Mimi ninalia kwa sababu ya mambo haya,jicho langu, jicho langu, linatitirika machozi."
Kigira wokuneminya mwoyo wa ga dukiranga kwirannya mwoyo gwange a veye ihale kuinze.,Kwa sababu mfariji wangu anayestahili kunifariji yu mbali nami.
Avana vange va lekeywi vengine kigira musigu u nguuti.,Watoto wangu wameachwa peke yao kwa sababu adui amenishinda.
17 Zioni a nyiranga makono hehe si ha veye Kali mlala u mu leminya mwoyo.,Sayuni huinyosha mikono yake na hakuna hata mmoja wa kumfariji.
"Yahova u haane lilaga makuva ga yakobo, Ava muhimbirizanga VA veye avadambidzi veve.","Bwana ametoa amri juu ya Yakobo, kwamba wamzungukao ambao ni watesi wake."
Yerusalemi hagati havi u gwiyi kuli kindu ki veye nobudamano.,Yerusalemu amekuwa kati yao kama kitu kichafu.
18 Yahova nowobulungi kigira inze nzebaaye ku lilaga lilye.,Bwana ndiye mwenye haki maan nimeiasi amri yake.
"Mwadza, mu hulire mwinye avandu vosi, mu lole liverera lyange.","Nawasihi msikie enyi watu wote, myatazame majonzi yangu."
Avakana vagima vange  na vayai vange va tsiye my lyadikidzwa.,Wasichana bikira wangu na wavulana wangu wametekwa.
"19 Nda langa avayanze vange, navutswa va ngada.",Niliwaita hao walionipenda lakini walinidanganya.
"Vasalisi vange na vakulundu vange va kudzera mu lidala, kwa va li Ni venyanga vyokulia VA Duke kwirannya mtoto gwavo ubuhya.",Makuhani wangu na wazee wangu walifia katika nchi walipokuwa wakitafuta vyakula ili warejelee mwanzo wao upya.
"20 Henza, o, Yahova, kigira mbeye my lidambidzwa , mwoyo gwange gu galiki.","Angalia, Ee Bwana; maana mimi ni katika dhiki; Mtima wangu umetaabika;"
Mwoyo gwange gu gwirani mu inze kigira nzebaaye nobululu.,Moyo wangu umegeuka ndani yangu; Maana nimeasi vibaya sana.
Kyoya kivavi kiitanga avana munyumba mu veye kuli likudza.,Huko nje upanga hufisha watu; Nyumbani mna kama mauti.
21 va huliye nkenyanga si ha veye nomundu Kali mulala wokuneminya mwoyo.,Wamesikia kwamba nkipiga kite hakuna hata mmoja wa kunifariji.
"Avasigu vange vosi va hulira kivi Kya ngwira, VA sangalanga kigira nive wa kola yaga.",Adui zangu wote wamesikia habari ya mashaka yaliyonipata; hufurahi kwa kuwa umeyafanya hayo.
"Ive u leta lidiku Lya was landidza makuva galyo, navo VA la leng'ana ninze.","Utaileta siku ile uliyoitangaza, Nao watakuwa kama mimi."
22 Ubudamano bwavo bwosi budze imbiri wowo.,Huo uovu wao wote na uje mbele zako wewe.
"U va kole, kuli wa kola inze kigira mahyolo gange gosi.",Ukawatende wao kama ulivyonitenda mimi Kwa dhambi zangu zote.
"Kigira likenya lyange li gwiye linene, na  mwoyo gwange gu duki mbulwaye.","Kwa maana mauguzi yangu ni mengi sana, Na moyo wangu umezimia."
2Ga duka ndi Yahova ya kunika mukana was zioni nelilesi mu butima bwibwe.,Bwana alimfunika binti Sayuni kwa wingu akiwa na hasira.
"Bulahi bwa Israeli ya bwagulula Hadi kutwula migulu, na so yidzulitsa intebe yevirenge vivye my lidiku lyobutima bwibwe.","Ameutupa kutoka mbinguni uzuri wa Israeli, wala hakukumbuka kiti chake cha miguu yake katika siku ya hasira yake."
"2 Yahova u miri ubumenyo bwosi bwa yakobo, na si ya li netsimbavasi mba.","Bwana ameyameza makao yote ya Yakobo, na wala hakuonyesha huruma."
Tsimpinga tsomukana was Yuda ya tsi sambula mu butima bwibwe.,Ameziangusha ngome za binti wa Yuda katika hasira zake.
"U tsi tsomi kuduka Hadi, u Viki Ubudamano ku bwami nokuvanene vabwo.",Amezibomoa hata ameunajisi ufalme wa wakuu wake.
3 Lwiga lwosi kwa Israeli u lu kalagi mu butima bwibwe bululu.,Ameikata pembe yote ya Israeli Katika hasira yake kali.
Wiranyi mukono gwigwe mulungi inyima hi vuli kuva imbiri wa avasigu.,Ameurudisha nyuma mkono wake wa kuume Mbele ya hao adui.
"U sambi yakobo kuli muliru hi dedimanga , u gu sambanga tsimbenga tsyosi.","Naye amemteketeza Yakobo kama moto uwakao, Ulao pande zote."
"4 U nyiye ubuta bwibwe kuli musigu, u singiye nomukono gwigwe mulungi kuli Mudamdidzi.","Ameupinda upinde wake kama adui, Amesimama na mkono wake wa kuume kama mtesi."
Na wiiti vosi Ava loleka kuva avokuyanzidza imoni.,Naye amewaua hao wote Waliopendeza macho.
Mu lihema lyomukana was Zioni u tsuki ubutima bwibwe kuli muliru.,Katika hema ya binti Sayuni Amemimina kani yake kama moto.
"5 Yahova u gwiye kuli musigu, u miri Israeli.","Bwana amekuwa kama adui, Amemmeza Israeli."
"U miri tsinyumba tsitye tsyosi tsyobwami, nokudividza tsimpinga tsitsye.","Ameyameza majumba yake yote, Ameziharibu ngome zake."
Kandi mu mukana wa Yuda u medi lisyoma nokwiduya viritu.,Tena amemzidishia binti Yuda Matanga na maombolezo.
"6  U twulizi netsingulu hokumenya hehe, kuli ha zana ha li milimi vutswa wononnyi hokuvugana hehe.","Naye ameondoa maskani yake kwa nguvu, Kana kwamba ni ya bustani tu; Ameharibu anapofanyia mikutano."
"Yahova u Loli livirirwa mu Zioni, amasavo ga madiku manene nelisabato.",Bwana amezisahauzisha katika Sayuni Sikukuu za makini na sabato.
Na kwani nomusalisi ya VA legamu livirirwa lyobutima bwibwe.,Naye amewadharau mfalme na kuhani Katika uchungu wa hasira yake.
"7 Yahova ya ta ubwali bwibwe, kandi ya ta hatakatifu hehe.","Bwana ameitupilia mbali madhabahu yake, Amepachukia patakatifu pake."
Ya vika mmukono gwa avasigu madigi getsinyumba tsitsye tsyobwami.,Amezitia katika mikono ya hao adui Kuta za majumba yake.
"VA koli liyoga mu inyumba ya Yahova, kuli Lya li KU lidiku lyelivugana.",Wamepiga kelele ndani ya nyumba ya Bwana Kama katika siku ya kusanyiko la makini.
8 Yahova u saaviye kwononnya lidigi lyomukana wa Zioni.,Bwana amekusudia kuuharibu Ukuta wa binti Sayuni.
"U nyiye mugoye, na so yegaliye mukono gwigwe gu vule kudividza mba.","Ameinyosha hiyo kamba, Hakuuzuia mkono wake usiangamize."
Kigira yaga ya kola impinga na lidigi kusyoma; vyombo halala vi dengeya.,Bali amefanya ngome na ukuta kuomboleza; vyombo vyote pamoja vikatikisika.
9 Viribwa vivye vya sikira hasi ya dividza nokuvunanya miluguyu gyavyo.,Malango yake yamezama katika nchi; Ameyaharibu makomeo yake na kuyavunja.
Kwani wewe na vanene veve VA veye mu tsihiiri tyelilaga li ta veye mutsyo.,Mfalme wake na wakuu wake wanakaa Kati ya mataifa wasio na sharia.
"Yee, avaprofeti veve so va lolanga malola ga twulanga KU Yahova.","Naam, manabii wake hawapati maono Yatokayo kwa Bwana."
"10 Avakulundu vomukana wa zioni vikaye hasi, va kiringani makiriri.","Wazee wa msichana wa Sayuni wameketi chini, wamekimya"
"Va viki lugukyi ku mitwe gyavo, viviki tsingubo tsya magunia mu virenge vyavo.","Wameweka vumbi juu ya vichwa vyao, Wamejivika miguuni nguo za magunia."
Avakana vagima va Yerusalemi vinaminya mitwe gyavo kuhenzidza  hasi,Wanawali wa Yerusalemu huinama vichwa vyao Kuangalisha chini.
"11 Tsimoni tsyange tsi luhi kigira maliga, mwoyo gwange gu kaliki.","Macho yangu yamechoka kwa machozi, Moyo wangu umetaabika."
"Likudumani lyange li tsukeywi ku kivala, kigira ubwoneku bwomukana wavandu vange.",Ini langu linamiminwa juu ya nchi Kwa uharibifu wa binti ya watu wangu.
Kigira avana vadoto na va nunanga Va kudziye ku Tsinzira tyelidala.,"Kwa sababu watoto wachanga na wanyonyao, Huzimia katika mitaa ya mji."
"12 Va tevanga avana vavo, ubuswage be iwaini vi veye haliha?","Wao huwauliza mama zao, Zi wapi nafaka na divai?"
Lwa VA kudzanga kuli avaateywi tsingoma ku mahasi ya madala.,Hapo wazimiapo kama waliojeruhiwa Katika mitaa ya mji.
Lwe myoyo gyavo gyi tsukeywi mu viritu vya vamama vavo.,Hapo walipomiminika nafsi zao Vifuani mwa mama zao.
"13 Nku lolekidzira kindu ki, Nda fwanannya na kindu ki ive, o mukana wa Yerusalemi?","Nikushuhudie nini? Nikufananishe na nini, Ee Binti Yerusalemu?"
"Nda lenganywa na kindu ki ive, nduke kukuleminya mwoyo, o mukana mugima was zioni?","Nikusawazishe na nini, nipate kukufariji, Ee bikira binti Sayuni?"
"Kigira ubusagaruku bubwo buveye bunene kuli inyanza, Ni bwaha u nyala kukuhonya?","Kwa maana uvunjifu wako ni mkuu kama bahari, Ni nani awezaye kukuponya?"
"14 Avaprofeti vovo VA KU koleye amalola, amalola ga vutswa na govusiru.",Manabii wako wameona maono kwa ajili yako Ya ubatili na upumbavu.
"Navo va vula kuvimbula ubwoni bubwo, kuduka ku girunkannya lyadikidzwa lilyo.","Wala hawakufunua uovu wako, Wapate kurudisha kufungwa kwako."
"Navudzwa va ku koleye busigu bwobugadi, na vivuni vye lyadikidzwa.",Bali wameona mabashiri ya ubatili kwa ajili yako Na sababu za kuhamishwa.
15 vosi Ava vitanga va mu kongondera makono.,Hao watu wote waliokuwa wakipita walimpigia makofi.
"VA kunukanga, va sungusanga mitwe gyavo ku mukana wa Yerusalemi, ni va vola.","Humzomea binti Yerusalemu, Na kutikisa vichwa vyao na kusema."
"Lidala yili nilyo Lya langwa umudukiru wobulahi, busangali bwelirova lyosi?","Je! Mji huu ndio ulioitwa, Ukamilifu wa uzuri, Furaha ya dunia yote?"
16 Avasigu vovo vosi va kunuye minwa gyavo ligali ku ive.,Juu adui zako wote Wamepanua vinywa vyao kwako.
"Va kunukanga nokudyedyeidza amino gavo va vola, ku Mali kumumira.","Huzomea, husaga meno yao, Husema, Tumemmeza."
"Ligali yili Ni lidiku Lya kwa henzereranga KU li nyoye, KU li Loli.","Hakika siku hii ndiyo tuliyoitazamia; Tumeipata, tumeiona."
"17 Yahova u koli aga ya saavira , u dukidzi likuva lilye lya ya laga mmaduki ga kale.","Bwana ameyatenda aliyoyakusudia; amelitimiza neno lake, Aliloliamuru siku za kale."
"U tsomi hasi, si ya Vera tsimbavasi mba.","Ameangusha hata chini, Wala hakuona huruma."
Ya ha musigu lisangala KU ive ya kuminya Lwiga lwa yavo Ava dambidzanga ive.,"Naye amemfurahisha adui juu yako, Ameitukuza pembe ya watesi wako."
18 Myoyo gyavo gyanira Yahova.,Mioyo yao ilimlilia Bwana.
"Ive lidigi lyomukana wa Zioni, amaliga gi doole kuli mugera mbasu nobudiku.","Ee ukuta wa binti Sayuni, Machozi na yachuruzike kama mto Mchana na usiku."
"U tesosidza, u ta leka indolero yemoni yoyo I ta Hera mba.",Usijipatie kupumzika; Mboni ya jicho lako isikome.
19 Vuka u kupe lwanga mbudiku mu litanga lyobulindi.,"Amka ulalamike usiku, Mwanzo wa kukesha kwake."
U tsuke mwoyo gugwo kuli amadzi imbiri womumoni mwa Yahova.,Mimina moyo wako kama maji machoni pa Bwana.
"Ginga makono gogo kuhenzidza kuye kigira livamwoyo lyavana vovo vadoto, yavo avakudza Myoyo kigira inzala ku kiheri kyelihasi sa lilala.","Umwinulie mikono yako; Kwa uhai wa watoto wako wachanga wazimiao kwa njaa, Mwanzo wa kila njia kuu."
"20 Lola, o, Yahova, Henza, Ni bwaha wa u koleye ndiyo!","Tazama, Bwana, uangalie, Ni nani uliyemtenda hayo!"
"Avakali va lie lwivulo lwavo, avana va va lera mu makono gavo?","Je! Wanawake wale mazao yao, Watoto waliowabeba?"
Musalisi nomuprofeti VA livirirwa mu hatakatifu ha Yahova?,Je! Kuhani na nabii wauawe Katika patakatifu pa Bwana?
21 Muyayi nomusakulu va gonna hasi mu mahasi.,Kijana na mzee hulala chini Katika njia kuu.
Avakana vagima vange navasoleli vange va gwiye ku kivavi.,Wasichana wangu mabikira na wavulana wangu Wameanguka kwa upanga.
"U viiti KU lidiku lyobutima bubwo, u viiti, na si u vereye tsimbavasi mba.","Umewaua katika siku ya hasira yako; Umeua, wala hukuona huruma."
"22 U langi, kuli mu lidiku lyelivugana, vyokutihidza vyange vi veye tsimbega tsyosi.",Umeziita kama katika siku ya mkutano wa makini; Hofu zangu zije pande zote.
"Si ha veye Kali mulala wa hona, Kinga wa tigala mu lidiku lyobutima bwa Yahova.",Wala hapana hata mmoja aliyepona wala kusalia Katika siku ya hasira ya Bwana.
"Yavo Ava nda lera nokuvirukidza, musigu wange u Mali KU VA heridza.",Hao niliowabeba na kuwalea Huyo adui yangu amewamaliza.
Mbeye umundu u Loli lidambidza na impimbo yovutima bwibwe.,Mimi ni mtu aliyeona mateso kwa fimbo ya ghaghabu yake.
"2 Ya nzimirira nokungendidza mukisundi, si mwa li mu bulavu.",Ameniongoza na kuniendesha katika giza wala si katika nuru.
3 Ligali ya girunkannya mukono gwigwe ku inze Hali kanyingi mbasu Bei,Hakika juu yangu augeuza mkono wake mara kwa mara mchana wote.
"4  U koli inyama yange neligodo lyange kuva vikulu, u vunanyi vigumba vyange.","Amechakaza nyama yangu na ngozi yangu, amevunja mifupa yangu."
"5 Wombaki KU  inze, nokunkumbiridza nendulwe neliluha.",Amejenga nyumba juu yangu na kunizungusha kwa uchungu na uchovu.
"6 U nzikalidzi ha veye nekisundi, kuli avakudzuzu KU inyinga intambi.",Ameniketisha penye giza kama waliokufa zamani.
"7 U viki ku inze lugaga hosi, mbule kutsia kyova, munyororo gwange u gu koli muliduhu.","Amenizungushia ukuta ili nisiweze kutoroka, amenifunga kwa minyororo mizito."
"8 Yee, Ni nkupa lwanga nokwenya mukonyi, a haniranga kyova lisaala lyange.","Hata ninapoita au kulia ili kuomba msaada, anakataa kupokea maombi yangu."
"9 U hani Tsinzira tsange na magina ga vadzwa , u kyaminyi Tsinzira tsyange.",Ameziziba njia zangu kwa mawe yaliyochongwa; Ameyapotosha mapito yangu.
"10 A veye KU inze kuli iduba I gonekanga, kuli king'ang'a mu lyevisa.","Alivyo kwangu ni kama dubu aoteaye, kama samba mafichoni."
"11 U girunkanyi Tsinzira tsyange nokuntandulanya, na u nkoli kuva hatswa.","Amezigeuza njia zangu na kunirarua-rarua, na amenifanya kubaki bure."
"12 U nyiye buta bwibwe, nokuvika inze kuva kyokusera KU kyombano.","Ameupinda upinde wake, Na kinifanya niwe shabaha kwa mshale."
13 U ndasi nemibano gye imodia yeye mu kikenge kyange.,Amenichoma kwa mishale ya podo lake.
"14 Ngwiye kihenyahenye KU Avandu vange vosi, lwimbu lwavo mbasu Bei.","Nimekuwa dhihaka kwa watu wangu wote,wimbo wao mchana kutwa."
"15 U nzizulitsi litsunwa, u nzigutidzi nekilulu kikye.","Amenijaza uchungu,amenikinaisha kwa pakanga."
16 Kandi u vunanyi amino gange netsinzalo u nkuniki ligoke.,"Amenivunja meno yangu kwa changarawe,amenifunika majivu."
"17 U Mali kuvika mwoyo gwange gu ve ihale nemirembe, nziviriye ligasidzwa.","Umeiweka nafsi yangu mbali na Amani, nikasahau kubarikiwa."
"18 Na Nda vola tsingulu tsyange tsi goti, na lyenya lyange kutwula ku Yahova.","Nikasema nguvu zangu zimepotea, na tumaini langu kwa Bwana."
"19 Widzulitse lidambidzwa lyange na likenya lyange, kilulu nendulwe","Kumbuka mateso yangu na msiba wangu,uchungu na nyongo."
"20 Mwoyo gwange gu kidzulizanga yago, na gwinama mu inze.","Ninayakumbuka vyema, nayo nafsi yangu imezimia ndani yangu."
"21 Nziyidzulitsa likuva yili, kigira yaga mbeye nelisuvira.",Hata hivyo najikumbusha neno hili na kwa hiyo ninalo tumaini.
"22 Ga veye KU tsimbavasi tsya Yahova tsi kiranga Ni KU vula kuheridzwa,  kigira tsimbavasi tsitsye si tsi gehanga mba.","Kwa sababu ya upendo mkuu waÿBwana, hatuangamii, kwa kuwa huruma zake hazikomi kamwe."
"23 Tsi veye tsimpya mugamba nomugamba, busuuvirifu bubwo but blveye bunene.","Ni mpya kila asubuhi, uaminifu wako ni mkuu."
"24 Yahova aveye kidieli kyange, mwoyo gwange gu vola, kigira yaga Nda suuvira kuye.","Nimeiambia nafsi yangu, Bwanaÿni fungu langu, kwa hiyo nitamngojea."
"25 Yahova a veye mulahi kuvo VA mu lindiranga, KU mwoyo gu mwenyanga.","Bwanaÿni mwema kwa wale ambao tumaini lao ni kwake, kwa yule ambaye humtafuta."
"26 Nobulahi umundu a suuvire, nokulindirira ubuhonyi bwa Yahova nelyekudzira.",Ni vyema kungojea kwa utulivu kwa ajili ya wokovu wa Bwana.
27 Nobulahi umundu aginge inira mu bwana buke bwibwe.,Ni vyema mtu kuchukua nira bado angali kijana.
28 Yikale yengine nokukiringana kigira u Viki kuye inkuva yiyi.,"Na akae peke yake awe kimya, kwa maanaÿBwanaÿameiweka juu yake."
"29 A vike munwa gwigwe mu lugukyi, Ni I va lisuuviridza liveye ho.",Na azike uso wake mavumbini bado panawezekana kuwa na matumaini.
"30 A Haane ku uyu u mu kuyanga lusaya lwilwe, yizule amanyego.","Na atoe shavu lake kwa yule ampigaye, na ajazwe na aibu."
31 Kigira Yahova si a la ta mihiga nemihiga.,Kwa kuwa watu hawakatiliwi mbali na Bwana milele.
"32 Kigira Kali na a vereridza, naye Kandi a la Vera kuli ubunene bwetsimbabasi tsitsye.","Ingawa huleta huzuni, ataonyesha huruma, kwa kuwa upendo wake usiokoma ni mkuu."
"33 Kigira si a VA vikanga mu kivi, Kinga kuvereridza avana VA vandu nomwoyo gwobuyanzi.",Kwa maana hapendi kuwaletea mateso au huzuni watoto wa wanadamu.
34 Ku va duvagira isi wevirenge vyavo ava bofwa vosi vomu lirova.,Kuwaponda chini ya nyayo wafungwa wote duniani.
35 Ku kyaminya ubulungi bwomundu imbiri womumoni mwa uyu uveye igulu ligali.,Kumnyima mtu haki zake mbele za Aliye Juu Sana.
"36 Kihinula mundu mu livola lilye, yaga Yahova ni a bugirira mba.","kumnyima mtu haki, Bwana hawezi kukubali mambo kama haya."
"37 Ni bwaha u vulanga, ma li va, Ni I va Yahova si ya li laga mba?",Nani awezaye kusema nalo likatendeka kama Bwana hajaamuru?
38 Mu munwa gwa uyu uveye igulu ligali si ha twulanga amadamano Nobulahi?,"Je, si ni kwenye kinywa cha Aliye Juu Sana ndiko yatokako maafa na mambo mema?"
"39 Kigira ki mundu u veye mwoyo amonyanga, umundu ku lihebwa mageli ku ubwoni bwibwe?",Mwanadamu yeyote aliye hai aweza kulalamika wakati anapoadhibiwa kwa ajili ya dhambi zake?
"40 Gendi ku liguule nokugeridza Tsinzira tsyetu, nokwirana ku Yahova Kandi.","Tuzichunguze njia zetu na kuzijaribu, na tumrudieÿBwanaÿMungu."
41 Gendi ku gingire Nyasaye  u veye igulu mwoyo gyetu halala na makono getu.,Tuinue mioyo yetu pamoja na mikono yetu kwa Mungu mbinguni.
"42 Ku site lwako nokwebaala, ive si u sameha mba.",Tumetenda dhambi na kuasi nawe hujasamehe.
"43 U kuniki nobutima bubwo nokulonderera, wiiti, si u veye netsimbavasi.",Umejifunika mwenyewe kwa hasira na kutufuatilia; umetuchinja bila huruma.
"44 Wekuniki nelilesi, lisaala lyetu li vule kuvita.","Unajifunika mwenyewe kwa wingu, ili pasiwe na ombi litakaloweza kupenya."
45 U koli kuva kuli amandu na vindu vya tebwa hagati ha avandu.,Umetufanya takataka na uchafu miongoni mwa watu.
"46 Avasigu vetu vosi valaminyi minwa gyavo ku kwinye, ubudivi na bwoneku.",Adui zetu wote wamefumbua vinywa vyao wazi dhidi yetu.
"47 Ubutii na bogo vi duki ku kwinye, ubudivi na bwoneku.","Tumeteseka kwa hofu kuu na shida ya ghafula, uharibifu na maangamizi."
"48 Imoni yange yidoolanga migera gya madzi, kigira ubwoneku bwomukana wavandu vange.","Vijito vya machozi vinatiririka kutoka machoni mwangu, kwa sababu watu wangu wameangamizwa."
"49 Imoni yange I sundukanga amadzi, si I lekeranga mba, si I kamulukanga.","Macho yangu yatatiririka machozi bila kukoma, bila kupata nafuu"
"50 kuduka Yahova yumike, nokulola kutwula migulu ha a veye.",hadiÿBwanaÿatazame chini kutoka mbinguni na kuona.
"51 Imoni yange I hayahayidzanga mwoyo gwange, kigira avakana vosi velidala lyange.",Lile ninaloliona huniletea huzuni nafsini kwa sababu ya wanawake wote wa mji wangu.
"52 Va himanga inze kuli linyonyi li himangwa, Ava veye avasigu vange bukira kivuni.",Wale waliokuwa adui zangu bila sababu wameniwinda kama ndege.
"53 VA twulizi livamwoyo lyange mu inyumba ya hasi ligali, va teye ligina ku inze.",Walijaribu kukomesha maisha yangu ndani ya shimo na kunitupia mawe
"54 Amadzi ga viti igulu womutwe gwange, Nda vola, mmali kuheridzwa.","maji yalifunika juu ya kichwa changu, nami nikafikiri nilikuwa karibu kukatiliwa."
"55 Ndanira lieta lilyo, O, Yahova, kutwula ha inyumba ya hasi ligali.","Nililiitia jina lako, EeÿBwana, kutoka vina vya shimo."
"56 Was hulira mwoyo gwange, u ta Visa ugutu gugwo ku miyika gyange, KU lilira lyange.",Ulisikia ombi langu: ?Usikizibie masikio yako kilio changu nikuombapo msaada.
